================================================================================================
Path-slot usage per (src,dst): FiLM-Tf vs noFiLM-Tf
================================================================================================
topo=geant_linear  episodes=200  K=16  min_flows=20  common_pairs=462

 src  dst | FiLM nSlot FiLM Hbits FiLM top% | noF nSlot noF Hbits noF top% |  nFlow
------------------------------------------------------------------------------------------------
   1    8 |         15       3.73       17% |        15      3.73      14% |     71
   8   13 |         16       3.72       14% |        16      3.75      15% |     73
  11   20 |         15       3.66       14% |        12      3.23      18% |     73
   8    5 |         14       3.65       16% |        13      3.44      16% |     56
   9   11 |         15       3.62       16% |        14      3.14      32% |     56
   5    8 |         15       3.61       16% |        15      3.50      14% |     64
  17   20 |         16       3.59       21% |        11      2.75      32% |     67
   9   21 |         16       3.56       24% |        13      2.52      55% |     80
   8    1 |         15       3.55       21% |        14      3.50      17% |     63
  20   17 |         14       3.55       18% |        12      3.11      28% |     83
  16    2 |         14       3.52       14% |        11      3.10      31% |     69
   8   11 |         14       3.51       15% |        16      3.62      19% |     80
   5    9 |         15       3.49       17% |        13      3.26      23% |     72
   2   16 |         13       3.48       19% |        15      3.59      14% |     64
   7    8 |         15       3.48       17% |        11      2.96      27% |     53
   9    1 |         14       3.47       23% |        14      3.33      25% |     74
  11    8 |         14       3.44       27% |        15      3.46      19% |     85
   1   20 |         14       3.42       23% |        13      3.23      26% |     53
  13    8 |         14       3.41       20% |        15      3.39      24% |     61
  19    1 |         14       3.40       20% |        14      3.16      30% |     61
  21    9 |         15       3.40       30% |        14      2.78      44% |     60
  20   21 |         13       3.39       19% |        10      2.59      35% |     68
   9   17 |         16       3.39       26% |        13      3.16      28% |     70
  11    9 |         15       3.39       22% |        11      3.23      22% |     68
   8   21 |         16       3.38       28% |        12      2.65      43% |     69
   9    5 |         13       3.37       15% |        12      3.22      23% |     62
  18    8 |         14       3.37       20% |        11      2.90      31% |     55
   5   16 |         14       3.36       24% |        12      3.03      23% |     71
  20   14 |         14       3.36       30% |        15      2.75      47% |     60
   8   14 |         13       3.36       23% |        10      2.81      31% |     61
  16   12 |         15       3.36       24% |         8      2.40      34% |     68
  16    1 |         14       3.35       20% |        12      3.30      20% |     80
   8   10 |         14       3.35       19% |        11      2.89      26% |     77
  19   18 |         15       3.33       25% |        13      2.53      47% |     65
  17    9 |         15       3.33       33% |        14      3.14      33% |     73
  16    0 |         15       3.32       20% |         8      2.45      28% |     79
  20    1 |         14       3.32       22% |        13      3.20      26% |     64
   1    9 |         13       3.32       24% |        14      3.56      14% |     74
  13   20 |         13       3.31       18% |        12      3.13      25% |     78
  19   13 |         13       3.30       23% |        16      3.48      24% |     57
  20   11 |         13       3.30       22% |        13      3.26      25% |     51
  17   19 |         14       3.30       25% |        12      2.49      48% |     64
  21    8 |         15       3.29       23% |        13      2.92      28% |     57
   8   18 |         15       3.29       25% |        10      2.72      31% |     69
  11   19 |         14       3.28       20% |        12      2.99      31% |     65
  10   19 |         13       3.25       28% |        10      2.43      39% |     58
  20   13 |         14       3.24       24% |        13      3.14      33% |     62
  12   15 |         15       3.24       33% |        13      3.16      22% |     78
   7   21 |         13       3.24       23% |        10      2.86      24% |     62
  13   19 |         14       3.23       29% |        13      3.26      28% |     51
  17    8 |         16       3.23       31% |        16      3.59      23% |     61
  20    5 |         13       3.22       26% |        14      3.36      17% |     62
   8    6 |         13       3.21       23% |        13      3.04      31% |     73
  16    5 |         13       3.21       25% |        12      3.39      14% |     63
   6   19 |         14       3.21       31% |        12      2.66      41% |     59
  19    5 |         12       3.21       18% |        12      3.14      24% |     60
  13    9 |         12       3.20       26% |        15      3.45      15% |     70
  12   21 |         12       3.20       19% |        12      3.04      27% |     68
